rank,headword,pos,en,ex_fr,ex_en,dispersion,freq
1561,procès,nm(pl),"trial, proceedings",un juge recommandait un nouveau procès –,a judge recommended a new trial,68,1384
1562,provenir,v,"to be from, come from",la balle provient d’un revolver britannique –,the bullet comes from a British revolver,74,1073
1563,réellement,adv,really,elle ne sait pas qui je suis réellement –,she doesn’t know who I really am,81,755
1564,conscient,adj,"conscious, aware",nous sommes conscients des exigences économiques –,we are aware of the economic demands,79,837
1565,céder,v,"to give up, give way",l’euro cède quelques fractions face au dollar –,the euro lost some percentage points to the dollar,76,986
1566,médical,adj,medical,"sans aide médicale, je vais mourir –","without medical help, I’ll die",72,1190
1567,diviser,v,to divide,le reste se divisait en trois fractions sensiblement égales –,the rest was divided in three largely equal amounts,82,686
1568,colère,nf,anger,je me sentis soudain très en colère contre mon père –,I suddenly felt myself angry at my father,72,1188
1569,patient,nadj,patient,"la clinique a beaucoup de patients, mais je peux vous aider –","the clinic has many patients, but I can help you",79,834
1570,notion,nf,notion,"par contre, je n’ai aucune notion de médecine –","on the other hand, I have no clue about medicine",74,1056
1571,siège,nm,"seat, bench","puis je vous conduire à votre siège, monsieur? –","may I help you to your seat, sir?",70,1258
1572,hausse,nf,"rise, raise, increase",il faut s’attendre à une légère hausse des prix –,a slight raise in prices is to be expected,62,1701
1573,mécanisme,nm,mechanism,il existe donc un mécanisme pour prévenir la fuite –,thus there is a mechanism to prevent escapes,73,1107
1574,traditionnel,adj,traditional,il faut maintenir des cultures traditionnelles –,traditional cultures must be maintained,76,954
1575,quart,nadj,quarter,le train part dans trois quarts d’heure –,the train leaves in three-quarters of an hour,74,1082
1576,approcher,v,to approach,le gros monsieur s’approche de nous –,the big man is approaching us,71,1199
1577,trafic,nm,"traffic, circulation","le week-end, en revanche, le trafic doit être normal –","on the other hand, during weekends traffic should be normal",57,2000
1578,catholique,nadj(f),Catholic,ils ont eu chacun un foyer –,each of them had a home,83,645
1579,foyer,nm,"home, hearth",ils ont eu chacun un foyer –,each of them had a home,83,645
1580,adulte,nadj(f),adult,je me suis sentie devenir une adulte –,I felt myself becoming an adult,78,883
1581,reprocher,v,"to blame, reproach",nous lui avons reproché d’avoir manqué le sommet –,we blame him for not having reached the summit,79,846
1582,métier,nm,"job, occupation, trade","c’est déjà plus qu’un métier, c’est une profession –",it’s more than a job – it’s a profession,69,1292
1583,modification,nf,modification,d’autres modifications sont aussi apportées à la convention –,other changes were also made to the agreement,56,2069
1584,peser,v,to weigh,il pesait lourd sur mon cæur –,it weighed heavily on my heart,78,891
1585,médias,nmpl,media,les médias vous ont comparée à Oprah Winfrey –,the media has compared you to Oprah Winfrey,67,1390
1586,hiver,nm,winter,tu ne peux pas passer l’hiver ici –,you can’t spend the winter here,80,758
1587,définition,nf,definition,je voudrais savoir quelle est sa définition d’égalité –,I would like to know his definition of equality,68,1373
1588,spécialiste,nadj(f),specialist,il y a des spécialistes pour ça –,there are specialists for that,76,941
1589,mari,nm,husband,je suis un collègue de votre mari –,I’m a colleague of your husband,65,1482
1590,supprimer,v,"to remove, withdraw","supprime ce paragraphe, cela ne changera rien –",delete this paragraph; that won’t change anything,75,992
1591,guère,adv,hardly,mon travail n’avançait guère –,my job was hardly going anywhere,68,1319
1592,douter,v,to doubt,il n’avait jamais douté de la victoire –,he never doubted victory,74,1026
1593,ressentir,v,to feel,"c’est alors qu’il ressentit, dans sa nuque, la douleur –","that’s when he felt, on the back of his neck, a sharp pain",76,935
1594,sexuel,adj,sexual,il y a des pervers sexuels partout –,there are sexual perverts everywhere,76,938
1595,consulter,v,to consult,je n’ai pas été consulté –,I was not consulted,70,1219
1596,renseignement,nm,information,je cherche des renseignements sur la femme qui a été tuée –,I’m seeking information on the woman who was killed,63,1605
1597,âgé,adj,old,ces hommes sont tous très âgés maintenant –,these men are all very old now,68,1350
1598,fonctionnement,nm,"operation, functioning",laissez-moi vous expliquer le fonctionnement de ce système –,let me explain to you how the system works,63,1601
1599,garçon,nm,boy,c’est un garçon unique –,he’s a unique boy,63,1595
1600,parfait,nadj,perfect,je suis en parfaite santé –,I’m in perfect health,72,1161
1601,résumer,v,"to summarize, sum up",les résultats obtenus sont résumés dans le tableau –,the results are summarized in the table,83,622
1602,prévision,nf,"forecast, prediction, expectation",l’économie mondiale a surpassé toutes les prévisions –,the global economy surpassed all predictions,79,815
1603,quatrième,"det, nm, nf",fourth,c’est mon quatrième séjour en France –,it’s my fourth stay in France,76,930
1604,fenêtre,nf,window,j’ai sauté par la fenêtre –,I jumped out the window,58,1893
1605,incapable,nadj(f),"incapable, incompetent",il est incapable de rentrer dans des détails concrets –,he’s incapable of delving into concrete details,82,668
1606,hésiter,v,to hesitate,n’hésitez pas à les appeler –,don’t hesitate to call them,75,971
1607,menace,nf,threat,la menace terroriste est bien réelle –,the terrorist threat is very real,74,1039
1608,universel,nadj,universal,nous voulons un régime de santé universel –,we want a universal health care system,77,876
1609,jeunesse,nf,youth,c’est la jeunesse que j’aime en eux –,it’s their youthfulness that I like,77,883
1610,voler,v,"to steal, rob",c’est pas bien de voler –,it’s not good to steal,72,1114
1611,résister,v,to resist,j’ai résisté à la mort de ma fille –,I wasn’t able to accept the death of my daughter,81,727
1612,profondément,adv,"profoundly, deeply",j’en suis profondément heureux –,Iam deeply pleased about it,82,691
1613,séparation,nf,separation,la séparation tend à devenir une invasion –,separation tends to turn into invasion,85,535
1614,inutile,nadj(f),useless,notre travail vous semble inutile –,our work seems useless to you,79,796
1615,refus,nm(pl),refusal,plusieurs raisons peuvent motiver un refus de visa –,a visa may be refused for several reasons,79,784
1616,poisson,nm,fish,nous pouvons bien survivre sans manger du poisson –,we can survive very well without eating fish,77,904
1617,révolution,nf,revolution,la révolution allemande était sans avenir –,the German revolution had no future,70,1196
1618,prisonnier,nadj,"prisoner, captive",je viens demander la libération d’une prisonnière –,I have come to ask for the release of one female prisoner,73,1071
1619,avouer,v,to admit,j’avoue que j’étais encore plutôt naïf –,I admit I was still somewhat naïve,76,950
1620,saluer,v,"to greet, salute",tu ne dois pas saluer les gens que tu ne connais pas –,you shouldn’t greet people you don’t know,80,762
1621,fer,nm,iron,la grille de fer était ouverte –,the iron gate was open,78,834
1622,familial,adj,family,la violence familiale n’est que trop fréquente –,family violence is only too frequent,76,947
1623,cinéma,nm,cinema,il était allé au cinéma voir un film extraordinaire –,he went to the movies and saw an extraordinary film,69,1253
1624,calcul,nm,calculation,une erreur de calcul figurait dans votre facture –,there was a miscalculation in your bill,76,920
1625,armé,adj,armed,ils ont croisé un homme armé –,they came upon an armed man,69,1240
1626,enseignement,nm,"education, teaching",c’est dans l’enseignement que j’ai acquis mes cheveux blancs –,teaching is what gave me gray hair,74,1020
1627,étonnant,nadj,"surprising, amazing, incredible",il est étonnant de voir combien d’argent on peut obtenir –,it’s striking to see how much money one can obtain,84,570
1628,dizaine,nf,approximately ten,il y a des dizaines de milliers de jeunes dans ce pays –,there are tens of thousands of youth in this country,67,1357
1629,dessus,"adv, nm(pl), prep","above, on top",je mets mes pieds dessus –,I’m putting my feet on top of it,71,1137
1630,achever,v,"to complete, finish, end",pensez-vous réellement que cette guerre s’achèvera –,do you really think that this war will end?,72,1104
1631,fonctionnaire,"nm, nf","state employee, public servant",les juges sont aussi des fonctionnaires –,judges are also public servants,68,1293
1632,instruction,nf,"instruction, direction",je ne reçois aucune instruction de l’industrie nucléaire –,I don’t receive any instruction from the nuclear industry,69,1270
1633,pratiquement,adv,practically,ils ont continué de grimper de manière pratiquement ininterrompue –,they continued with their practically uninterrupted climbing,78,816
1634,oser,v,to dare,ose me dire que tu vas rester ici! –,dare to tell me that you will stay here!,71,1167
1635,rassembler,v,to gather together,je rassemblai assez de forces pour me lever –,I summoned enough energy to get up,77,881
1636,réalisation,nf,"realization, achievement",un lancement d’opération demande la réalisation d’une action –,launching an operation requires performing some action,77,893
1637,fiscal,adj,fiscal,le régime fiscal n’est pas juste –,the tax system is not fair,57,1878
1638,démarche,nf,"walk, process",la démarche serait trop longue et trop coûteuse –,the process would be too long and too costly,74,985
1639,corriger,v,to correct,je voudrais corriger un petit détail technique –,I would like to correct a small technical detail,79,795
1640,volume,nm,volume,gardez le moral haut et le volume bas –,keep your morale up and your volume down,73,1055
1641,réussite,nf,success,elle est aussi capable de magnifiques réussites –,she’s also capable of magnificent successes,84,560
1642,désir,nm,desire,faites attention à vos désirs –,watch out for your desires,68,1286
1643,pur,nadj,pure,l’oxygène pur annihile toute douleur –,pure oxygen obliterates all pains,70,1183
1644,exportation,nf,export,les exportations ont légèrement baissé –,exports dropped slightly,65,1452
1645,prier,v,to pray,je vais prier pour que Dieu vous bénisse –,I’ll pray for God to bless you,65,1442
1646,trente,"det, nmi",thirty,il a été trente ans chez nous –,he lived at our place for thirty years,68,1288
1647,âme,nf,soul,je ne vendrai jamais mon âme au diable –,I will never sell my soul to the devil,61,1676
1648,dominer,v,to dominate,la France a dominé l’Europe pendant trois siècles –,France dominated Europe for three centuries,75,974
1649,autorisation,nf,"authorization, permission, permit",j’ai besoin d’une autorisation –,I need an authorization,82,655
1650,instrument,nm,instrument,je voulais connaître mieux l’instrument et apprendre des solos –,I want to know the instrument better and learn some solos,73,1034
1651,indépendance,nf,independence,l’île a acquis son indépendance en 1981 –,the island gained its independance in 1981,74,994
1652,tort,nm,wrong,"vous aviez raison, j’avais tort –","you were right, I was wrong",75,954
1653,hauteur,nf,height,ceux qui tombent de cette hauteur sont morts –,whoever falls from this height dies,77,860
1654,critiquer,v,to criticize,"ils s’arrogent le droit de me critiquer, me juger –","they reserve the right to criticize me, to judge me",76,917
1655,attaque,nf,attack,l’attaque rebelle survient après deux jours –,the rebel attack took place after two days,61,1627
1656,assurance,nf,"insurance, confidence",tout mon argent sert à payer l’assurance médicale –,all my money goes to pay medical insurance,69,1201
1657,déficit,nm,deficit,le déficit du extérieur s’est fortement contracté –,the foreign trade deficit dropped sharply,63,1541
1658,évoluer,v,to evolve,la situation évolue cependant dans le bon sens –,but the situation did evolve in the right direction,72,1058
1659,drogue,nf,drug,il parle ouvertement des effets des drogues –,he talks openly about the effects of drugs,76,913
1660,concret,nadj,concrete,que proposez-vous comme solutions concrètes? –,what concrete solutions do you propose?,76,881
1661,percevoir,v,to perceive,"il était perçu comme agressif, arrogant et généralement hostile –","he was perceived as aggressive, arrogant, and generally hostile",76,893
1662,rythme,nm,"rhythm, rate",le génie génétique progresse à un rythme incroyable –,genetic engineering is progressing at an unbelievable pace,73,1016
1663,approuver,v,to approve,chacun de vos projets a été approuvé –,each of your trips has been approved,68,1249
1664,douze,"det, nmi",twelve,on a envoyé des petits de douze ans à la mine –,little twelve-year-olds were sent to the mine,71,1116
1665,juridique,adj(f),"legal, judicial",le système juridique gêne le travail des policiers –,the legal system hinders police work,66,1342
1666,espagnol,nadj,Spanish,"vous n’êtes pas espagnole, vous –",you’re not a Spaniard,66,1362
1667,saison,nf,season,"l’automne, c’est la saison du football –",autumn is football season,69,1193
1668,épreuve,nf,"test, ordeal, trial",nous mettons peut-être votre patience à l’épreuve –,perhaps we’re putting your patience to the test,73,1044
1669,hypothèse,nf,hypothesis,cette hypothèse était tellement invraisemblable –,this hypothesis was so unlikely,77,831
1670,relier,v,to connect,toutes les choses sont reliées. nous le savons –,everything is connected. we know that,78,784
1671,financement,nm,financing,le financement de cet achat est assuré –,the financing of this purchase is assured,65,1391
1672,dos,nm(pl),back,"il est couché sur le dos, les bras en croix –","he’s lying on his back, arms crossed",68,1232
1673,consommateur,nm,"consumer, customer",les consommateurs en ressentent directement les avantages –,consumers feel the advantages directly,69,1210
1674,soviétique,nadj(f),Soviet,une sonde spatiale soviétique se pose sur Vénus –,a Soviet space probe is sitting on Venus,73,1009
1675,volontaire,nadj(f),volunteer; voluntary,je me porte volontaire pour sortir –,I hereby volunteer to go outside,82,632
1676,négocier,v,to negotiate,l’Israël veut dicter et non pas négocier –,"Israel wants to dictate, not negotiate",73,1033
1677,finance,nf,finance,je n’ai pas étudié la finance mais j’étais un guerrier dans l’âme –,I didn’t study finance but I was a warrior at heart,58,1743
1678,rêver,v,to dream,j’ai rêvé de toi –,I dreamed about you,71,1119
1679,indien,nadj,Indian,la police fédérale indienne va enquêter –,the Indian federal police is going to investigate,70,1166
1680,quantité,nf,quantity,ces services existent en quantités limitées –,these services are available in limited quantities,76,899
1681,définitif,nadj,"definitive, final",je n’ai pas pris de décision définitive à ce sujet –,I haven’t taken a final decision on this subject,79,751
1682,persuader,v,"to convince, persuade",il était persuadé que j’avais un talent –,he was convinced I had a talent,82,635
1683,interpréter,v,to interpret,ces résultats sont évidemment à interpréter avec prudence –,these results are clearly to be interpreted carefully,82,639
1684,annuel,adj,annual,l’inflation annuelle a augmenté à 4.1 % –,annual inflation grew by 4.1%,70,1155
1685,commentaire,nm,"comment, remark",j’ai été très impressionné des commentaires que j’ai reçus –,I’m very impressed by the comments I have received,72,1072
1686,marier,v,to marry,il veut se marier avec moi –,he wants to marry me,71,1082
1687,spectacle,nm,"sight, show",ça va être un spectacle d’enfer –,that will be a hellish spectacle,73,987
1688,pari,nm,bet,je n’ai jamais fait le pari de quoi que ce soit –,I have never bet on anything,47,2459
1689,célèbre,adj(f),famous,elle était une musicienne célèbre dans notre pays –,she was a famous musician in our country,78,773
1690,ouest,"adji, nm",west,le vent arrive toujours de l’ouest –,the wind always blows from the west,65,1375
1691,sexe,nm,sex,"je ne sais pas, le sexe n’a peut-être rien à voir –","I don’t know, perhaps sex doesn’t have anything to do with it",77,851
1692,eh,intj,"hey, uh","eh bien, j’ai changé d’avis –","well, I have changed my mind",60,1647
1693,recours,nm(pl),"resort, recourse",vous disiez qu’on a eu recours à des injonctions –,you were saying we can resort to injunctions,72,1048
1694,accent,nm,accent,son accent est tellement mignon –,her accent is so cute,82,633
1695,introduire,v,to introduce,on l’avait introduit dans une chambre –,he was taken into a room,74,946
1696,communiste,nadj(f),communist,les communistes ont toujours une certaine influence –,the communists still have some influence,70,1118
1697,concert,nm,concert,"ce soir, on va à un concert –",tonight we’re going to a concert,80,692
1698,couverture,nf,blanket,la couverture de neige a fortement fondu –,the blanket of snow melted drastically,76,885
1699,religion,nf,religion,l’Islam est une religion de paix et de tolérance –,Islam is a religion of peace and tolerance,72,1038
1700,appui,nm,support,sa loyauté et son appui me manqueront –,I’ll miss his loyalty and his support,69,1185
1701,théâtre,nm,theater,"ils allaient au café, au théâtre, au cinéma –","they went to the café, the theatre, the movies",70,1107
1702,saint,nadj,"saint, holy",je priais devant la statue de la Sainte Vierge –,I was praying before the statue of the Holy Virgin,68,1222
1703,conséquent,nadj,"logical, rational, consistent","il semble, par conséquent, que nous soyons face à une contradiction –",consequently it seems that we are facing a contradiction,68,1221
1704,équipement,nm,equipment,nous avons le meilleur équipement possible –,we have the best possible equipment,52,2096
1705,descendre,v,"to go down, come down","personne n’entre, personne ne descend du train –",nobody gets on or off the train,60,1607
1706,patron,nm,boss,je veux parler avec ton patron –,I want to speak with your boss,69,1169
1707,marge,nf,margin,il y avait une marge d’incertitude considérable –,there was a substantial margin of uncertainty,73,971
1708,abri,nm,shelter,mettons-nous à l’abri –,let’s take shelter,82,613
1709,recette,nf,recipe,il n’y a pas de recette secrète –,there’s no secret recipe,76,859
1710,généralement,adv,generally,les conditions sont généralement favorables –,the conditions are generally favorable,72,1044
1711,vigueur,nf,vigor,le nouveau programme sera en vigueur dès juillet prochain –,the new program will take effect starting next July,70,1136
1712,baser,v,to base,cette loi se base sur trois principes –,this law is based on three principles,75,906
1713,soleil,nm,sun,ces lunettes de soleil valent 100 millions de dollars? –,these sunglasses are worth 100 million dollars?,61,1531
1714,électoral,adj,electoral,les campagnes électorales sont affaire de pouvoir –,electoral campaigns involve power,65,1339
1715,ennemi,nadj,enemy,"s’il est l’ennemi de notre ennemi, c’est un ami –",the enemy of our enemy is our friend,69,1155
1716,bourse,nf,"purse, scholarship",j’ai réussi à obtenir une bourse pour ma deuxième année –,I managed to obtain a scholarship for my second year,66,1286
1717,dimension,nf,dimension,nous connaissions un univers à trois dimensions –,we experienced a three-dimensional universe,70,1096
1718,déployer,v,"to deploy, open",des chars d’assaut israéliens ont été déployés –,Israeli assault vehicles were deployed,78,781
1719,dialogue,nm,dialogue,nous avons voulu proposer un dialogue sur ces trois sujets –,we wanted to propose a dialogue on these three topics,67,1237
1720,thème,nm,"theme, topic",vous pouvez choisir un thème –,you can choose a topic,69,1154
1721,circuler,v,"to drive, circulate",elle peut désormais circuler librement –,she can henceforth circulate freely,84,520
1722,porte-parole,nmi,"spokesperson, spokeswoman, spokesman",je ne me sens porte-parole de personne –,I don’t feel like I’m anybody’s spokesman,52,2033
1723,présentation,nf,presentation,j’ai écouté avec intérêt la présentation de mon collègue –,I listened with interest to the presentation of my colleague,71,1073
1724,forêt,nf,forest,"de ma fenêtre, on voyait la forêt –",from my window you could see the forest,80,674
1725,outil,nm,tool,ça m’a donné les outils pour atteindre mes buts –,that gave me the wherewithal to achieve my goals,70,1126
1726,vacance,nf,vacancy; vacation,"moi, j’ai interrompu mes vacances –","as for me, I had to interrupt my vacation",79,742
1727,suffisamment,adv,sufficiently,je ne l’ai pas dit suffisamment –,I haven’t said it enough,76,843
1728,défi,nm,challenge,tu es peut-être venu me lancer un défi –,maybe you came to challenge me,74,923
1729,front,nm,"front, forehead",le moustique vibrait autour de son front –,the mosquito buzzed around his forehead,66,1271
1730,suspendre,v,"to suspend, postpone",il faut suspendre la séance pour quelques instants –,the hearing will have to be suspended for a little while,75,874
1731,calme,nadj(f),calm,le temps est désormais très calme –,the weather has since been very calm,65,1353
1732,montagne,nf,mountain,il atteignit le sommet de la grande montagne –,he reached the summit of the great mountain,76,840
1733,sévère,adj(f),severe,"ils sont contrôlés de façon sévère, de façon méticuleuse –","they are strictly, meticulously controlled",82,606
1734,apparemment,adv,apparently,"apparemment, ces moulins tournent encore –","apparently, these mills are still turning",81,631
1735,présidence,nf,presidency,vous devez comprendre que la présidence a une mission –,you must understand that the presidency has a mission,61,1512
1736,magasin,nm,store,il travaillait dans un petit magasin en face –,he worked in a little shop across the street,80,695
1737,commissaire,"nm, nf","superintendent, commissioner","excusez-moi, je vois que le commissaire vient d’arriver –","excuse me, I see the commissioner has just arrived",67,1241
1738,écrivain,nm,writer,"ma chérie, devenir écrivain est tout aussi dur –","my dear, becoming a writer is just as hard",66,1270
1739,monétaire,adj(f),monetary,le travailleur désire une élévation de salaire monétaire –,the worker wants an increase in monetary salary,57,1747
1740,ouvrage,nm,work,il s’agit du seul ouvrage de référence sur le sujet –,it’s the only reference work on the subject,67,1244
1741,réputation,nf,reputation,nous sommes fiers de notre réputation –,we’re proud of our reputation,87,426
1742,cabinet,nm,"cabinet, agency, office",les députés ministériels sont les membres du Cabinet –,the deputy ministers are Cabinet ministers,78,742
1743,écart,nm,"space, gap",elle est un peu à l’écart de la route –,it’s a little bit off the road,79,702
1744,chien,nm,dog,notre mère avait peur des chiens –,our mother was afraid of dogs,63,1388
1745,surveillance,nf,"surveillance, monitoring",• les caméras de surveillance l’ont bien vue –,,,
1746,indispensable,adj(f),essential,le gouvernement français estime cette opération indispensable –,the French government deems this operation essential,77,807
1747,conversation,nf,conversation,notre conversation a duré deux heures –,our conversation lasted two hours,66,1269
1748,surface,nf,surface,les eaux de surface sont très chaudes –,the surface water is very hot,74,913
1749,féliciter,v,to congratulate,je voulais te féliciter pour cette victoire –,I wanted to congratulate you on this victory,63,1420
1750,sûrement,adv,surely,quelqu’un a sûrement besoin d’aide –,someone surely needs help,75,867
1751,bombe,nf,bomb,une vingtaine de bombes sont tombées sur la capitale –,some twenty bombs fell on the capital,71,1049
1752,efficacité,nf,"efficiency, effectiveness",les chercheurs pourront vérifier l’efficacité du traitement –,the researchers will be able to verify the effectiveness of the treatment,69,1114
1753,euro,nm,euro,"à 21 euros, ce n’est pas très cher –","at 21 euros, it’s not very expensive",52,1995
1754,phase,nf,phase,toute maladie est une phase de guérison –,each sickness is a phase of healing,67,1204
1755,confusion,nf,"confusion, mix-up",j’ai cru mourir de confusion –,I thought I would die from confusion,84,512
1756,précision,nf,precision,il faut une certaine précision dans la loi –,the law must have some degree of precision,77,800
1757,compétence,nf,competence,nous voulons qu’ils acquièrent les compétences nécessaires –,we want them to acquire the necessary competency,64,1327
1758,bilan,nm,"balance sheet, outcome",pouvez-vous proposer un bilan de ces épreuves? –,can you suggest an outcome for these tests?,66,1272
1759,immense,adj(f),immense,nous vivons dans un territoire immense –,we live in an immense territory,73,946
1760,massif,nadj,massive,une faillite institutionnelle massive se produit –,a massive institutional failure took place,72,971
1761,chute,nf,fall,"quelques mois après la chute du mur de Berlin, en avril 1990 –","a few months after the fall of the Berlin wall, in April 1990",67,1220
1762,constant,adj,constant,vous travailliez tous de façon constante –,you all work in a consistent manner,82,604
1763,sain,adj,"healthy, sane","si vous menez une vie saine, vos réduisez vos risques –","if you live a healthy life, you reduce your risks",85,468
1764,intégrer,v,to integrate,l’art est une tentative pour intégrer le mal –,art is an attempt to integrate evil,71,1036
1765,aérien,adj,aerial,les renforts aériens arrivent –,air support is arriving,65,1299
1766,contrairement,adv,contrary,contrairement à une idée couramment répandue –,contrary to a commonly held idea,78,723
1767,pierre,nf,stone,on nous lance des pierres par la fenêtre –,they were throwing stones out the window at us,65,1278
1768,socialiste,nadj(f),socialist,les pays que nous appelons socialistes aujourd’hui ne le sont pas du tout –,countries that we call socialist today really aren’t at all,63,1367
1769,fortement,adv,strongly,"encore une fois, j’insiste fortement –","again, I strongly insist",73,917
1770,régulier,adj,regular,travaillez-vous avec des clients réguliers –,do you work with regular clients?,85,484
1771,boîte,nf,box,elle va vérifier plusieurs fois sa boîte aux lettres –,she went several times to look in her mailbox,77,776
1772,financer,v,to finance,il a déjà financé des films en Europe –,he has already financed films in Europe,67,1200
1773,théorie,nf,theory,je crois me souvenir de tes théories –,I think I remember your theories,66,1244
1774,hôtel,nm,hotel,il change d’hôtel chaque soir –,he changes hotels every night,70,1051
1775,nier,v,to deny,vous ne pouvez pas le nier et les autres non plus –,"you can’t deny it, neither can the others",79,680
1776,phénomène,nm,phenomenon,"je suis un phénomène, non? –","I’m a phenomenon, right?",67,1192
1777,là-bas,adv,"over there, out there",il y a deux mecs là-bas qui vous cherchent –,there are two guys over there looking for you,69,1100
1778,étonner,v,"to astonish, amaze","évidemment, ça a étonné tout le monde –",evidently this stunned the whole world,72,957
1779,totalité,nf,"totality, entirety","toute totalité, paradoxalement, est restrictive –","entirety is, paradoxically, restrictive",82,571
1780,sort,nm,"fate, curse",le sort de la pièce était entre mes mains –,the outcome of the play was in my hands,81,608
1781,accéder,v,"to access, reach, attain",j’ai besoin d’accéder à ces données –,I need to access this data,83,540
1782,église,nf,church,vous allez toujours à l’église? –,do you still go to church?,72,978
1783,récupérer,v,"to get back, recover, recuperate",nous avons récupéré vos armes –,we recovered your weapons,81,625
1784,doter,v,"to endow, provide",vous êtes dotée d’un superbe vocabulaire –,you’re endowed with a superb vocabulary,75,833
1785,contribution,nf,contribution,nous reconnaissons leur contribution dans le domaine médical –,we recognize their contribution to the medical domain,68,1138
1786,profondeur,nf,depth,ce serait sous-estimer la profondeur de la crise –,that would be to underestimate the gravity of the crisis,84,521
1787,émettre,v,"to emit, issue",ce sont eux qui émettent le plus de CO2 –,that’s what emits the most carbon dioxide,54,1850
1788,test,nm,test,j’ai eu un test de Q. I. cette année –,I had an IQ test this year,71,1003
1789,vice-président,nm,vice-president,le vice-président sortant a passé la nuit dans sa résidence –,the outgoing vice-president spent the night in his residence,61,1444
1790,pêche,nf,fishing; peach,tu viens à la pêche cet après-midi? –,are you coming fishing this afternoon?,55,1791
1791,découverte,nf,discovery,cette découverte l’amusa toute la soirée –,this discovery kept her happy all evening,74,882
1792,potentiel,nadj,potential,elle a vraiment un bon potentiel! –,she really has great potential!,76,813
1793,agricole,adj(f),"agricultural, farming",les subventions agricoles sont des taxes –,farm subsidies are taxes,60,1520
1794,intellectuel,nadj,intellectual,je crois que la vie intellectuelle changerait profondément –,I think that intellectual life would change dramatically,68,1134
1795,essence,nf,"gas, petrol",ta moto n’a plus d’essence –,your motorbike ran out of gas,80,659
1796,pencher,v,"to lean, tilt","vous penchez à gauche, ça tourne à gauche –",lean to the left and it turns to the left,69,1104
1797,artiste,nadj(f),artist,l’artiste refait le monde à son compte –,the artist remakes the world according to his own fashion,68,1118
1798,coin,nm,corner,"ils vivent peut-être ici, au coin de la rue –","maybe they live here, on the street corner",68,1111
1799,tension,nf,tension,parler pour briser la tension –,say something to break the tension,69,1068
1800,don,nm,gift,elle a le don de communiquer avec la musique –,she has the gift of communication through music,75,850
1801,uniforme,"adj(f), nm","uniform, steady, regular","vous ne portiez pas d’uniforme, quoique armé –","you weren’t wearing a uniform, even though you were armed",84,503
1802,fidèle,nadj(f),faithful,tes hommes te sont fidèles –,your men are faithful to you,76,806
1803,grève,nf,strike,nous allons faire grève demain –,we’re going on strike tomorow,64,1287
1804,achat,nm,purchase,il est devenu responsable des achats –,he became the purchasing agent,73,902
1805,mentionner,v,to mention,ces points ont déjà été mentionnés par le rapporteur –,these points were already mentioned by the reporter,62,1376
1806,exécution,nf,"execution, accomplishment","dans sa cellule, avant l’exécution, il en refuse les secours –","in his cell, before the execution, he refuses help",82,557
1807,distinguer,v,to distinguish,c’est cela qui nous distingue des orientaux –,that’s what distinguishes us from the Orientals,71,975
1808,exploiter,v,to exploit,les Américains veulent exploiter notre pétrole –,the Americans want to exploit our oil,78,703
1809,administratif,nadj,administrative,j’occupe actuellement un poste administratif –,I currently hold an administrative position,75,822
1810,effectif,nadj,"effective; size, workforce",Volkswagen supprime un quart de ses effectifs aux Etats-Unis –,Volkswagen is eliminating a quarter of its workforce in the U.S.,69,1082
1811,communautaire,adj(f),"community, communal",une intervention au niveau communautaire ne se justifiait pas –,community intervention was not justified,56,1664
1812,individuel,adj,individual,la religion se fait sur une base individuelle –,religion happens at an individual level,76,807
1813,faciliter,v,"to make easier, facilitate",je voudrais faciliter votre décision –,I would like to facilitate your decision,76,806
1814,original,nadj,original,dire que la ville était belle était original –,to say that the city was beautiful was quite a stretch,81,604
1815,surprise,nf,surprise,"j’étais plutôt content, c’était la bonne surprise –",I was rather pleased – that was a nice surprise,79,687
1816,veiller,v,"to look after, stay up","ne veille pas trop tard, cela use les yeux –","don’t stay up too late, it wears out your eyes",69,1060
1817,dette,nf,debt,je vais régler ma dette –,I’m going to take care of my debt,66,1202
1818,capitale,nf,capital,nous ne sommes pas la capitale de l’État mais nous grandissons –,we’re not the state capital but we’re growing,57,1627
1819,maintien,nm,"holding, maintaining",le maintien de la paix ne se limite plus –,maintaining peace has no limits,70,1041
1820,chanter,v,to sing,il chantait la mélodie –,he sang the melody,66,1212
1821,pension,nf,"pension; room and board, boarding school",elle ira directement du camp en pension –,she’ll go directly from the camp to a boarding school,53,1822
1822,revue,nf,"review, magazine, journal",la revue n’a pas publié les résultats des travaux –,the journal didn’t publish the results of the work,77,751
1823,clore,v,to close,"pour moi, le sujet est clos –","for me, the subject is moot",79,684
1824,neige,nf,snow,ils ne peuvent plus pelleter la neige –,they can’t shovel snow any more,49,2030
1825,figure,nf,face; figure,"sa figure était maigre et pâle, un peu effrayante –","his face was lean and pale, somewhat frightening",60,1454
1826,masse,nf,mass,l’entreprise doit atteindre une masse critique –,the company must achieve critical mass,71,973
1827,susceptible,adj(f),"sensitive, touchy",oh! ce que vous pouvez être susceptible mon ami –,"gee, can you ever be touchy, my friend",80,640
1828,étroit,adj,"narrow, tight",ils demeurèrent quelques instants dans l’étroit couloir –,they lingered for a few moments in the narrow corridor,75,810
1829,goût,nm,taste,le goût n’a rien à voir avec l’appétit –,taste has nothing to do with appetite,67,1157
